Количество	Имя	Положение X	Положение Y	Положение Z
1	Точка	555712.000	5031286.000	16.300
1	Точка	555542.000	5031303.000	16.300
1	Точка	555677.000	5031314.000	16.300
1	Точка	555701.000	5031302.000	16.300
1	Точка	555700.000	5031298.000	16.300
1	Точка	555646.000	5031319.000	16.300
1	Точка	555502.000	5031295.000	16.300
1	Точка	555705.000	5031297.000	16.300
1	Точка	555441.000	5031282.000	16.300
1	Точка	555695.000	5031302.000	16.300
1	Точка	555688.000	5031313.000	16.200
1	Точка	555657.000	5031320.000	16.200
1	Точка	555676.000	5031318.000	16.200
1	Точка	555565.000	5031309.000	16.200
1	Точка	555653.000	5031320.000	16.200
1	Точка	555702.000	5031313.000	16.200
1	Точка	555731.000	5031278.000	16.200
1	Точка	555716.000	5031287.000	16.200
1	Точка	555450.000	5031285.000	16.200
1	Точка	555708.000	5031291.000	16.300
1	Точка	555700.000	5031306.000	16.200
1	Точка	555642.000	5031320.000	16.200
1	Точка	555667.000	5031319.000	16.200
1	Точка	555672.000	5031319.000	16.200
1	Точка	555712.000	5031292.000	16.300
1	Точка	555521.000	5031298.000	16.300
1	Точка	555695.000	5031297.000	16.300
1	Точка	555506.000	5031297.000	16.300
1	Точка	555633.000	5031318.000	16.300
1	Точка	555685.000	5031307.000	16.300
1	Точка	555696.000	5031292.000	16.300
1	Точка	555658.000	5031315.000	16.300
1	Точка	555690.000	5031305.000	16.300
1	Точка	555675.000	5031310.000	16.300
1	Точка	555702.000	5031290.000	16.300
1	Точка	555681.000	5031307.000	16.300
1	Точка	555437.000	5031281.000	16.300
1	Точка	555708.000	5031287.000	16.300
1	Точка	555726.000	5031277.000	16.300
1	Точка	555575.000	5031312.000	16.300
1	Точка	555624.000	5031319.000	16.300
1	Точка	555615.000	5031319.000	16.300
1	Точка	555732.000	5031274.000	16.300
1	Точка	555723.000	5031285.000	16.300
1	Точка	555586.000	5031314.000	16.300
1	Точка	555416.000	5031278.000	16.300
1	Точка	555525.000	5031300.000	16.300
1	Точка	555681.000	5031315.000	16.300
1	Точка	555725.000	5031281.000	16.300
1	Точка	555463.000	5031288.000	16.300
1	Точка	555663.000	5031318.000	16.300
1	Точка	555492.000	5031294.000	16.300
1	Точка	555694.000	5031310.000	16.300
1	Точка	555607.000	5031319.000	16.200
1	Точка	555552.000	5031308.000	16.100
1	Точка	555630.000	5031321.000	16.100
1	Точка	555602.000	5031320.000	16.100
1	Точка	555571.000	5031312.000	16.100
1	Точка	555561.000	5031309.000	16.100
1	Точка	555722.000	5031289.000	16.100
1	Точка	555544.000	5031307.000	16.100
1	Точка	555638.000	5031322.000	16.100
1	Точка	555713.000	5031296.000	16.100
1	Точка	555661.000	5031322.000	16.100
1	Точка	555419.000	5031281.000	16.100
1	Точка	555497.000	5031297.000	16.100
1	Точка	555532.000	5031304.000	16.100
1	Точка	555701.000	5031317.000	16.100
1	Точка	555733.000	5031282.000	16.100
1	Точка	555634.000	5031322.000	16.100
1	Точка	555670.000	5031323.000	16.100
1	Точка	555645.000	5031323.000	16.100
1	Точка	555699.000	5031322.000	16.100
1	Точка	555709.000	5031311.000	16.100
1	Точка	555423.000	5031282.000	16.100
1	Точка	555697.000	5031316.000	16.100
1	Точка	555619.000	5031321.000	16.100
1	Точка	555649.000	5031322.000	16.100
1	Точка	555676.000	5031322.000	16.100
